id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,,,,,,,,,,,,,,,,,,,,,,,,,,,
DrnkWk.BAS.MR.txt:usmYUU,rpSeKi,BAS,DrnkWk,Inverse Variance Weighted,118,-0.020494738,0.029366165,0.485237797,,,,,,,,,,,,,,,,,,,,,,,,,,,
DrnkWk.EOS.MR.txt:usmYUU,C4TZep,EOS,DrnkWk,Inverse Variance Weighted,118,-0.01568776,0.02982462,0.598887968,,,,,,,,,,,,,,,,,,,,,,,,,,,
DrnkWk.HCT.MR.txt:usmYUU,fwstv6,HCT,DrnkWk,Inverse Variance Weighted,118,0.023222167,0.023768673,0.328565543,,,,,,,,,,,,,,,,,,,,,,,,,,,
DrnkWk.HGB.MR.txt:usmYUU,TgnEV5,HGB,DrnkWk,Inverse Variance Weighted,118,0.029552995,0.023387755,0.206370143,,,,,,,,,,,,,,,,,,,,,,,,,,,
DrnkWk.LYM.MR.txt:usmYUU,qNmZfg,LYM,DrnkWk,Inverse Variance Weighted,118,-0.082142322,0.034202899,0.016322711,,,,,,,,,,,,,,,,,,,,,,,,,,,
DrnkWk.MCHC.MR.txt:usmYUU,8MQDzp,MCHC,DrnkWk,Inverse Variance Weighted,118,-0.014978975,0.028747763,0.602333068,,,,,,,,,,,,,,,,,,,,,,,,,,,
DrnkWk.MCH.MR.txt:usmYUU,cVecjW,MCH,DrnkWk,Inverse Variance Weighted,118,0.066857298,0.029617585,0.023986124,,,,,,,,,,,,,,,,,,,,,,,,,,,
DrnkWk.MCV.MR.txt:usmYUU,CXSkl6,MCV,DrnkWk,Inverse Variance Weighted,118,0.07738574,0.030059923,0.010041918,,,,,,,,,,,,,,,,,,,,,,,,,,,
DrnkWk.MON.MR.txt:usmYUU,9ZVwNe,MON,DrnkWk,Inverse Variance Weighted,118,0.018193222,0.02819765,0.518795321,,,,,,,,,,,,,,,,,,,,,,,,,,,
DrnkWk.NEU.MR.txt:usmYUU,pY1pkz,NEU,DrnkWk,Inverse Variance Weighted,118,-0.010151069,0.032776882,0.7567875,,,,,,,,,,,,,,,,,,,,,,,,,,,
DrnkWk.PLT.MR.txt:usmYUU,umODMi,PLT,DrnkWk,Inverse Variance Weighted,118,0.006626002,0.036003655,0.853984478,,,,,,,,,,,,,,,,,,,,,,,,,,,
DrnkWk.RBC.MR.txt:usmYUU,aTWRQc,RBC,DrnkWk,Inverse Variance Weighted,118,-0.008855886,0.026638256,0.739549561,,,,,,,,,,,,,,,,,,,,,,,,,,,
DrnkWk.WBC.MR.txt:usmYUU,oGMy0K,WBC,DrnkWk,Inverse Variance Weighted,118,-0.015916753,0.027711766,0.565718755,,,,,,,,,,,,,,,,,,,,,,,,,,,
