"nsnp"	"exposure"	"outcome"	"method"	"b"	"lower.confidence.interval"	"upper.confidence.interval"	"pval"	"b.1"	"ci"
1094	" SmkInit "	" BAS "	"Inverse variance weighted"	0.139362241552354	0.0847822	0.193942	5.59843158537016e-07	0.139362241552354	0.05458
1094	" SmkInit "	" EOS "	"Inverse variance weighted"	0.120673139977557	0.0628713	0.178475	4.27848266950079e-05	0.120673139977557	0.0578018
1094	" SmkInit "	" HCT "	"Inverse variance weighted"	-0.00878093291164745	-0.0558533	0.0382914	0.714648146273134	-0.00878093291164745	0.0470724
1094	" SmkInit "	" HGB "	"Inverse variance weighted"	-0.00386973515670239	-0.0491335	0.041394	0.866924381225798	-0.00386973515670239	0.0452637
1094	" SmkInit "	" LYM "	"Inverse variance weighted"	0.148787936500815	0.0951904	0.202385	5.29810571741579e-08	0.148787936500815	0.0535975
1094	" SmkInit "	" MCH "	"Inverse variance weighted"	0.0859663589115016	0.0188733	0.153059	0.0120270244315153	0.0859663589115016	0.067093
1094	" SmkInit "	" MCHC "	"Inverse variance weighted"	0.00110350250002222	-0.0470946	0.0493016	0.964207370312064	0.00110350250002222	0.0481981
1094	" SmkInit "	" MCV "	"Inverse variance weighted"	0.0979848073824469	0.0291667	0.166803	0.00525956101855391	0.0979848073824469	0.0688182
1094	" SmkInit "	" MON "	"Inverse variance weighted"	0.121685319360117	0.069739	0.173632	4.40413428682854e-06	0.121685319360117	0.0519463
1094	" SmkInit "	" NEU "	"Inverse variance weighted"	0.155496895960842	0.0955001	0.215494	3.77761400198867e-07	0.155496895960842	0.0599968
1094	" SmkInit "	" PLT "	"Inverse variance weighted"	0.060933099279143	0.00540266	0.116464	0.0315005093009148	0.060933099279143	0.0555304
1094	" SmkInit "	" RBC "	"Inverse variance weighted"	-0.0550733013487276	-0.110545	0.000398554	0.0516646163960969	-0.0550733013487276	0.0554719
1094	" SmkInit "	" WBC "	"Inverse variance weighted"	0.215426607611532	0.169188	0.261665	6.73945728594971e-20	0.215426607611532	0.0462382
